Source: https://algomaster.io/practice/dsa-patterns,,,,,
,,,,,
Topic,Title,LeetCode Link,Problem,Solved,Bookmark
Tree Traversal - Post-Order,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,Flatten Binary Tree to Linked List,,
Tree Traversal - Post-Order,Distribute Coins in Binary Tree,https://leetcode.com/problems/distribute-coins-in-binary-tree,Distribute Coins in Binary Tree,,
Tree Traversal - Post-Order,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,,
BST / Ordered Set,Trim a Binary Search Tree,https://leetcode.com/problems/trim-a-binary-search-tree,Trim a Binary Search Tree,,
BST / Ordered Set,My Calendar I,https://leetcode.com/problems/my-calendar-i,My Calendar I,,
BST / Ordered Set,My Calendar II,https://leetcode.com/problems/my-calendar-ii,My Calendar II,,
BST / Ordered Set,Stock Price Fluctuation,https://leetcode.com/problems/stock-price-fluctuation,Stock Price Fluctuation,,
Tries,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),,
Tries,Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure,Design Add and Search Words Data Structure,,
Tries,Search Suggestions System,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,,
Tries,Longest Word in Dictionary,https://leetcode.com/problems/longest-word-in-dictionary,Longest Word in Dictionary,,
Tries,Maximum XOR of Two Numbers in an Array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array,Maximum XOR of Two Numbers in an Array,,
Tries,Word Search II,https://leetcode.com/problems/word-search-ii,Word Search II,,
Heaps,Furthest Building You Can Reach,https://leetcode.com/problems/furthest-building-you-can-reach,Furthest Building You Can Reach,,
Heaps,Single-Threaded CPU,https://leetcode.com/problems/single-threaded-cpu,Single-Threaded CPU,,
Heaps,Process Tasks Using Servers,https://leetcode.com/problems/process-tasks-using-servers,Process Tasks Using Servers,,
Two Heaps,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,,
Two Heaps,IPO,https://leetcode.com/problems/ipo,IPO,,
Two Heaps,Sliding Window Median,https://leetcode.com/problems/sliding-window-median,Sliding Window Median,,
Top K Elements,Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream,Kth Largest Element in a Stream,,
Top K Elements,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,,
Top K Elements,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin,K Closest Points to Origin,,
Intervals,Merge Intervals,https://leetcode.com/problems/merge-intervals,Merge Intervals,,
Intervals,Insert Interval,https://leetcode.com/problems/insert-interval,Insert Interval,,
Intervals,Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,Minimum Number of Arrows to Burst Balloons,,
Intervals,Maximum Number of Events That Can Be Attended,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,Maximum Number of Events That Can Be Attended,,
Intervals,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals,Non-overlapping Intervals,,
K-Way Merge,Find K Pairs with Smallest Sums,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,Find K Pairs with Smallest Sums,,
K-Way Merge,Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,Kth Smallest Element in a Sorted Matrix,,
